cross-validation:early fusion
Epoch 1/32, Train Loss: 0.0227, Dev Acc: 0.8750, Dev AUC: 0.4821, Test Acc: 0.8125, Test AUC: 0.4359, Best Thresh: 0.54
Epoch 2/32, Train Loss: 0.0220, Dev Acc: 0.1250, Dev AUC: 0.3661, Test Acc: 0.1875, Test AUC: 0.5641, Best Thresh: 0.10
Epoch 3/32, Train Loss: 0.0216, Dev Acc: 0.1250, Dev AUC: 0.3839, Test Acc: 0.1875, Test AUC: 0.4808, Best Thresh: 0.10
Epoch 4/32, Train Loss: 0.0206, Dev Acc: 0.8438, Dev AUC: 0.5714, Test Acc: 0.8125, Test AUC: 0.4808, Best Thresh: 0.50
Epoch 5/32, Train Loss: 0.0207, Dev Acc: 0.6250, Dev AUC: 0.5982, Test Acc: 0.5000, Test AUC: 0.4936, Best Thresh: 0.44
Epoch 6/32, Train Loss: 0.0199, Dev Acc: 0.1875, Dev AUC: 0.4464, Test Acc: 0.2188, Test AUC: 0.5128, Best Thresh: 0.38
Epoch 7/32, Train Loss: 0.0192, Dev Acc: 0.9062, Dev AUC: 0.5179, Test Acc: 0.8125, Test AUC: 0.5000, Best Thresh: 0.48
Epoch 8/32, Train Loss: 0.0193, Dev Acc: 0.5312, Dev AUC: 0.6250, Test Acc: 0.3750, Test AUC: 0.6538, Best Thresh: 0.38
Epoch 9/32, Train Loss: 0.0188, Dev Acc: 0.3750, Dev AUC: 0.5000, Test Acc: 0.2500, Test AUC: 0.6346, Best Thresh: 0.36
Epoch 10/32, Train Loss: 0.0178, Dev Acc: 0.3125, Dev AUC: 0.5089, Test Acc: 0.2500, Test AUC: 0.5513, Best Thresh: 0.34
Epoch 11/32, Train Loss: 0.0190, Dev Acc: 0.8750, Dev AUC: 0.5089, Test Acc: 0.8125, Test AUC: 0.6474, Best Thresh: 0.44
Epoch 12/32, Train Loss: 0.0185, Dev Acc: 0.6875, Dev AUC: 0.5714, Test Acc: 0.5000, Test AUC: 0.5321, Best Thresh: 0.38
Epoch 13/32, Train Loss: 0.0182, Dev Acc: 0.8438, Dev AUC: 0.4464, Test Acc: 0.7812, Test AUC: 0.6218, Best Thresh: 0.40
Epoch 14/32, Train Loss: 0.0172, Dev Acc: 0.6875, Dev AUC: 0.5714, Test Acc: 0.6250, Test AUC: 0.5321, Best Thresh: 0.36
